id,answer
880,e
881,c
882,e
883,e
884,d
885,b
886,b
887,d
888,a
889,a
890,c
891,d
892,d
893,c
894,a
895,c
896,a
897,a
898,b
899,d
900,b
901,e
902,d
903,b
904,d
905,b
906,c
907,d
908,c
909,a
910,b
911,e
912,d
913,d
914,e
915,c
916,e
917,d
918,c
919,e
920,b
921,c
922,a
923,c
924,d
925,d
926,e
927,d
928,d
929,d
930,e
931,e
932,a
933,e
934,d
935,a
936,d
937,a
938,d
939,b
940,e
941,e
942,b
943,a
944,a
945,a
946,e
947,a
948,c
949,e
950,b
951,e
952,c
953,e
954,c
955,c
956,d
957,a
958,b
959,e
960,c
961,d
962,e
963,d
964,a
965,d
966,c
967,d
968,c
969,c
970,b
971,d
972,b
973,e
974,a
975,d
976,b
977,c
978,b
979,a
980,c
981,d
982,e
983,d
984,c
985,e
986,b
987,b
988,d
989,e
990,e
991,c
992,e
993,d
994,d
995,d
996,b
997,b
998,d
999,a
1000,e
1001,a
1002,a
1003,a
1004,e
1005,c
1006,b
1007,b
1008,b
1009,b
1010,d
1011,c
1012,b
1013,a
1014,c
1015,c
1016,c
1017,c
1018,d
1019,e
1020,c
1021,b
1022,e
1023,d
1024,b
1025,b
1026,d
1027,b
1028,b
1029,a
1030,d
1031,d
1032,d
1033,d
1034,b
1035,a
1036,a
1037,c
1038,a
1039,d
1040,b
